SurvivorID,Dragonfire_Resistance,Shadow_Crimes,Corruption_Mutations,Reputation
1459,63,0,4,48
1498,67,0,5,47
1174,87,2,0,80
1473,70,0,4,45
1398,81,0,0,83
1781,78,0,2,73
1506,79,5,0,61
1319,94,5,0,82
1349,86,5,6,51
1197,68,1,2,57
1030,64,6,0,49
1298,64,0,0,64
1413,65,0,2,50
1064,42,0,3,24
1687,71,0,1,63
1529,71,4,0,62
1290,94,8,2,70
1453,85,0,0,83
1302,86,0,0,86
1079,50,0,0,52
1238,53,0,5,25
1695,77,0,0,72
1228,95,4,2,65
1666,86,5,0,70
1066,47,0,4,20
1381,74,0,0,72
1902,55,0,0,55
1454,96,0,0,96
1869,81,3,0,75
1616,70,0,4,53
1337,66,3,2,55
